user_sequence,challenge
23459_13,CI24916
23460_11,CI24740
23460_12,CI24844
23460_13,CI24742
23461_11,CI23634
23461_12,CI24754
23461_13,CI25692
23463_11,CI24400
23463_12,CI24402
23463_13,CI24866
23466_11,CI25688
23466_12,CI25442
23466_13,CI23630
23471_11,CI24071
23471_12,CI24148
23471_13,CI24757
23477_11,CI24148
23477_12,CI24020
23477_13,CI24070
23479_11,CI27564
23479_12,CI27568
23479_13,CI27573
23482_11,CI24961
23482_12,CI24934
23482_13,CI24963
23485_11,CI23742
23485_12,CI23914
23485_13,CI23916
23487_11,CI27038
23487_12,CI27033
23487_13,CI27039
23488_11,CI24915
23488_12,CI24916
23488_13,CI24917
23497_11,CI24763
23497_12,CI24756
23497_13,CI24755
23498_11,CI24940
23498_12,CI24535
23498_13,CI24171
23504_11,CI24940
23504_12,CI24680
23504_13,CI24399
23505_11,CI26546
23505_12,CI26553
23505_13,CI26552
23510_11,CI26546
23510_12,CI26553
23510_13,CI26552
23515_11,CI27038
23515_12,CI27033
23515_13,CI27036
23516_11,CI27033
23516_12,CI27038
23516_13,CI27030
23518_11,CI24754
23518_12,CI23630
23518_13,CI24150
23522_11,CI24940
23522_12,CI24535
23522_13,CI24848
23525_11,CI24915
23525_12,CI24934
23525_13,CI24930
23527_11,CI26546
23527_12,CI26553
23527_13,CI26552
23531_11,CI27571
23531_12,CI27574
23531_13,CI27570
23532_11,CI24401
23532_12,CI24389
23532_13,CI24397
23538_11,CI24769
23538_12,CI24148
23538_13,CI24932
23540_11,CI25077
23540_12,CI24020
23540_13,CI24176
23543_11,CI23615
23543_12,CI24050
23543_13,CI24148
23544_11,CI23791
23544_12,CI24847
23544_13,CI23726
23547_11,CI27033
23547_12,CI27032
23547_13,CI27030
23551_11,CI23537
23551_12,CI24865
23551_13,CI24336
23552_11,CI23630
23552_12,CI24754
23552_13,CI25689
23556_11,CI23656
23556_12,CI24718
23556_13,CI23615
23558_11,CI23726
23558_12,CI24148
23558_13,CI24671
23560_11,CI23914
23560_12,CI23916
23560_13,CI23742
23565_11,CI26622
23565_12,CI26370
23565_13,CI26382
23566_11,CI24866
23566_12,CI24681
23566_13,CI24402
23567_11,CI23630
23567_12,CI23725
23567_13,CI23806
23576_11,CI25821
23576_12,CI26411
23576_13,CI26412
23577_11,CI25688
23577_12,CI25442
23577_13,CI23677
23579_11,CI27038
23579_12,CI27033
23579_13,CI27039
23581_11,CI27038
23581_12,CI27033
23581_13,CI27039
23582_11,CI25077
23582_12,CI24769
23582_13,CI24680
23585_11,CI24676
23585_12,CI23656
23585_13,CI24020
23586_11,CI23726
23586_12,CI24680
23586_13,CI23656
23587_11,CI27038
23587_12,CI27033
23587_13,CI27039
23590_11,CI24915
23590_12,CI24759
23590_13,CI24020
23591_11,CI27038
23591_12,CI27033
23591_13,CI27039
23599_11,CI24234
23599_12,CI24314
23599_13,CI24865
23602_11,CI26409
23602_12,CI26410
23602_13,CI26404
23603_11,CI24402
23603_12,CI24400
23603_13,CI23537
23609_11,CI24848
23609_12,CI24818
23609_13,CI24883
23611_11,CI24899
23611_12,CI24901
23611_13,CI24892
23613_11,CI24672
23613_12,CI24917
23613_13,CI24932
23616_11,CI26435
23616_12,CI26439
23616_13,CI26436
23620_11,CI25084
23620_12,CI23872
23620_13,CI23946
23622_11,CI23872
23622_12,CI23708
23622_13,CI23757
23623_11,CI24190
23623_12,CI24188
23623_13,CI23629
23625_11,CI27570
23625_12,CI27568
23625_13,CI27574
23633_11,CI24680
23633_12,CI24681
23633_13,CI24671
23636_11,CI26056
23636_12,CI25692
23636_13,CI26052
23640_11,CI25442
23640_12,CI23788
23640_13,CI23806
23641_11,CI24899
23641_12,CI24897
23641_13,CI24901
23647_11,CI23726
23647_12,CI23667
23647_13,CI24769
23649_11,CI24818
23649_12,CI24673
23649_13,CI24758
23651_11,CI24754
23651_12,CI23923
23651_13,CI24671
23656_11,CI23630
23656_12,CI24759
23656_13,CI24718
23657_11,CI23726
23657_12,CI24176
23657_13,CI23791
23658_11,CI24926
23658_12,CI23656
23658_13,CI23630
23660_11,CI27033
23660_12,CI27038
23660_13,CI27039
23662_11,CI24184
23662_12,CI24496
23662_13,CI24400
23669_11,CI24112
23669_12,CI23725
23669_13,CI23800
23672_11,CI24234
23672_12,CI24865
23672_13,CI24319
23674_11,CI24901
23674_12,CI24898
23674_13,CI24402
23675_11,CI24932
23675_12,CI23800
23675_13,CI24759
23677_11,CI24020
23677_12,CI23726
23677_13,CI24158
23679_11,CI23630
23679_12,CI24754
23679_13,CI23800
23681_11,CI24769
23681_12,CI24151
23681_13,CI24757
23682_11,CI25812
23682_12,CI25813
23682_13,CI25811
23686_11,CI27038
23686_12,CI27033
23686_13,CI27039
23687_11,CI24112
23687_12,CI23630
23687_13,CI23800
23690_11,CI23656
23690_12,CI23831
23690_13,CI24395
23694_11,CI26546
23694_12,CI26553
23694_13,CI26552
23697_11,CI27033
23697_12,CI27038
23697_13,CI27039
23703_11,CI24402
23703_12,CI23807
23703_13,CI24400
23707_11,CI27561
23707_12,CI27559
23707_13,CI27570
23708_11,CI24865
23708_12,CI23537
23708_13,CI24234
23712_11,CI26546
23712_12,CI26553
23712_13,CI26552
23714_11,CI23634
23714_12,CI24769
23714_13,CI23726
23716_11,CI24769
23716_12,CI24148
23716_13,CI24020
23721_11,CI27574
23721_12,CI27571
23721_13,CI27568
23726_11,CI27038
23726_12,CI27033
23726_13,CI27039
23729_11,CI27574
23729_12,CI27568
23729_13,CI27571
23732_11,CI24915
23732_12,CI25689
23732_13,CI24916
23734_11,CI23630
23734_12,CI24754
23734_13,CI23656
23737_11,CI27568
23737_12,CI27574
23737_13,CI27563
23738_11,CI24148
23738_12,CI24071
23738_13,CI24757
23739_11,CI25689
23739_12,CI23806
23739_13,CI25690
23741_11,CI27559
23741_12,CI27561
23741_13,CI25375
23743_11,CI23726
23743_12,CI24176
23743_13,CI25077
23744_11,CI26452
23744_12,CI26470
23744_13,CI26458
23747_11,CI24757
23747_12,CI23615
23747_13,CI24769
23752_11,CI24757
23752_12,CI24756
23752_13,CI24754
23753_11,CI24865
23753_12,CI24336
23753_13,CI23537
23754_11,CI24865
23754_12,CI23537
23754_13,CI24319
23757_11,CI24769
23757_12,CI24763
23757_13,CI24020
23759_11,CI23725
23759_12,CI23630
23759_13,CI23656
23760_11,CI24234
23760_12,CI24300
23760_13,CI24319
23762_11,CI24857
23762_12,CI23923
23762_13,CI23806
23763_11,CI25689
23763_12,CI24747
23763_13,CI24763
23770_11,CI27359
23770_12,CI27358
23770_13,CI27355
23773_11,CI27359
23773_12,CI27358
23773_13,CI27355
23775_11,CI24899
23775_12,CI24901
23775_13,CI24897
23777_11,CI26740
23777_12,CI23503
23777_13,CI25367
23779_11,CI27574
23779_12,CI27568
23779_13,CI27570
23785_11,CI24848
23785_12,CI24070
23785_13,CI24402
23789_11,CI25812
23789_12,CI25813
23789_13,CI25811
23790_11,CI24188
23790_12,CI23820
23790_13,CI24191
23794_11,CI24769
23794_12,CI24756
23794_13,CI23788
23797_11,CI23883
23797_12,CI23923
23797_13,CI23677
23799_11,CI26435
23799_12,CI26439
23799_13,CI26436
23801_11,CI24400
23801_12,CI24033
23801_13,CI23629
23804_11,CI24319
23804_12,CI24234
23804_13,CI24932
23805_11,CI23914
23805_12,CI23742
23805_13,CI23916
23810_11,CI23807
23810_12,CI23806
23810_13,CI24112
23811_11,CI25448
23811_12,CI27560
23811_13,CI23882
23814_11,CI24020
23814_12,CI23630
23814_13,CI23879
23817_11,CI26435
23817_12,CI26439
23817_13,CI26436
23818_11,CI26458
23818_12,CI26470
23818_13,CI26462
23821_11,CI24917
23821_12,CI25689
23821_13,CI24915
23822_11,CI26435
23822_12,CI26439
23822_13,CI26436
23823_11,CI23537
23823_12,CI24865
23823_13,CI23807
23824_11,CI26740
23824_12,CI25367
23824_13,CI23503
23827_11,CI27038
23827_12,CI27033
23827_13,CI27039
23828_11,CI27038
23828_12,CI27033
23828_13,CI27039
23829_11,CI23942
23829_12,CI24151
23829_13,CI24763
23832_11,CI25689
23832_12,CI25688
23832_13,CI23630
23835_11,CI26435
23835_12,CI26439
23835_13,CI26436
23837_11,CI24151
23837_12,CI24763
23837_13,CI23942
23843_11,CI26546
23843_12,CI26553
23843_13,CI26552
23852_11,CI26435
23852_12,CI26439
23852_13,CI26436
23863_11,CI26435
23863_12,CI26439
23863_13,CI26436
23864_11,CI23630
23864_12,CI24759
23864_13,CI25442
23870_11,CI23630
23870_12,CI23725
23870_13,CI25689
23872_11,CI26435
23872_12,CI26439
23872_13,CI26436
23873_11,CI24673
23873_12,CI24400
23873_13,CI24110
23878_11,CI24020
23878_12,CI24769
23878_13,CI25077
23881_11,CI26435
23881_12,CI26436
23881_13,CI26439
23883_11,CI26435
23883_12,CI26439
23883_13,CI26436
23888_11,CI27038
23888_12,CI27033
23888_13,CI27039
23891_11,CI23747
23891_12,CI24398
23891_13,CI24393
23894_11,CI26435
23894_12,CI26436
23894_13,CI26439
23895_11,CI23838
23895_12,CI23800
23895_13,CI24915
23898_11,CI26435
23898_12,CI26439
23898_13,CI26436
23899_11,CI24400
23899_12,CI23725
23899_13,CI24110
23905_11,CI24899
23905_12,CI24900
23905_13,CI24897
23908_11,CI26546
23908_12,CI26553
23908_13,CI26552
23909_11,CI26435
23909_12,CI26436
23909_13,CI26439
23911_11,CI23726
23911_12,CI24020
23911_13,CI25077
23916_11,CI26546
23916_12,CI26553
23916_13,CI26552
23919_11,CI27136
23919_12,CI27141
23919_13,CI27139
23921_11,CI26435
23921_12,CI26439
23921_13,CI26436
23924_11,CI26448
23924_12,CI26452
23924_13,CI26451
23925_11,CI24672
23925_12,CI24818
23925_13,CI24150
23926_11,CI25812
23926_12,CI25813
23926_13,CI25811
23927_11,CI26448
23927_12,CI26452
23927_13,CI26470
23928_11,CI24399
23928_12,CI24535
23928_13,CI24866
23929_11,CI26411
23929_12,CI26419
23929_13,CI25822
23932_11,CI23726
23932_12,CI24151
23932_13,CI24176
23936_11,CI26452
23936_12,CI26470
23936_13,CI26458
23939_11,CI27136
23939_12,CI27141
23939_13,CI27139
23943_11,CI23942
23943_12,CI24151
23943_13,CI24763
23945_11,CI26546
23945_12,CI26553
23945_13,CI26552
23946_11,CI24672
23946_12,CI24818
23946_13,CI25514
23947_11,CI26546
23947_12,CI26553
23947_13,CI26552
23948_11,CI26435
23948_12,CI26439
23948_13,CI26436
23954_11,CI24760
23954_12,CI26815
23954_13,CI23818
23960_11,CI26435
23960_12,CI26439
23960_13,CI26436
23961_11,CI26452
23961_12,CI26470
23961_13,CI26458
23962_11,CI26452
23962_12,CI26448
23962_13,CI26458
23965_11,CI26439
23965_12,CI26435
23965_13,CI26436
23969_11,CI24020
23969_12,CI24148
23969_13,CI24112
23970_11,CI26546
23970_12,CI26553
23970_13,CI26552
23980_11,CI27038
23980_12,CI27033
23980_13,CI27039
23983_11,CI24672
23983_12,CI24681
23983_13,CI24759
23986_11,CI26452
23986_12,CI26470
23986_13,CI26458
23990_11,CI26452
23990_12,CI26470
23990_13,CI26458
23993_11,CI23630
23993_12,CI24763
23993_13,CI24757
23996_11,CI24757
23996_12,CI24754
23996_13,CI24148
23998_11,CI26546
23998_12,CI26553
23998_13,CI26552
24000_11,CI25812
24000_12,CI25813
24000_13,CI25811
24006_11,CI23537
24006_12,CI24400
24006_13,CI24401
24011_11,CI25812
24011_12,CI25813
24011_13,CI25811
24014_11,CI26435
24014_12,CI26439
24014_13,CI26436
24018_11,CI24400
24018_12,CI24402
24018_13,CI24866
24019_11,CI26622
24019_12,CI26370
24019_13,CI26382
24020_11,CI26435
24020_12,CI26439
24020_13,CI26436
24031_11,CI24932
24031_12,CI24914
24031_13,CI24681
24035_11,CI27136
24035_12,CI27141
24035_13,CI27139
24036_11,CI26622
24036_12,CI26382
24036_13,CI26370
24037_11,CI24894
24037_12,CI24897
24037_13,CI24899
24040_11,CI26510
24040_12,CI26508
24040_13,CI26514
24043_11,CI24680
24043_12,CI24399
24043_13,CI23667
24046_11,CI26435
24046_12,CI26439
24046_13,CI26436
24052_11,CI24898
24052_12,CI24901
24052_13,CI24865
24054_11,CI24865
24054_12,CI23537
24054_13,CI24234
24055_11,CI24234
24055_12,CI24458
24055_13,CI24389
24056_11,CI24234
24056_12,CI24865
24056_13,CI23782
24058_11,CI24769
24058_12,CI23838
24058_13,CI24020
24064_11,CI23667
24064_12,CI24680
24064_13,CI24148
24070_11,CI24402
24070_12,CI24400
24070_13,CI24148
24071_11,CI26622
24071_12,CI26366
24071_13,CI26382
24072_11,CI27019
24072_12,CI27023
24072_13,CI27030
24073_11,CI24763
24073_12,CI24755
24073_13,CI23942
24075_11,CI26622
24075_12,CI26370
24075_13,CI26382
24079_11,CI23630
24079_12,CI24926
24079_13,CI23806
24081_11,CI25825
24081_12,CI25820
24081_13,CI25773
24083_11,CI27568
24083_12,CI27561
24083_13,CI27570
24087_11,CI26622
24087_12,CI26370
24087_13,CI26382
24089_11,CI26435
24089_12,CI26439
24089_13,CI26436
24092_11,CI25690
24092_12,CI23677
24092_13,CI25442
24096_11,CI24865
24096_12,CI24402
24096_13,CI24401
24097_11,CI26435
24097_12,CI26439
24097_13,CI26436
24099_11,CI26815
24099_12,CI26860
24099_13,CI23759
24100_11,CI26546
24100_12,CI26553
24100_13,CI26552
24101_11,CI24071
24101_12,CI24020
24101_13,CI23788
24103_11,CI25812
24103_12,CI25813
24103_13,CI25811
24108_11,CI24769
24108_12,CI24792
24108_13,CI23656
24114_11,CI24897
24114_12,CI24898
24114_13,CI24932
24115_11,CI26622
24115_12,CI26370
24115_13,CI26382
24117_11,CI26815
24117_12,CI23759
24117_13,CI26860
24119_11,CI23788
24119_12,CI24720
24119_13,CI24759
24131_11,CI26435
24131_12,CI26439
24131_13,CI26436
24132_11,CI26435
24132_12,CI26439
24132_13,CI26436
24137_11,CI24934
24137_12,CI24070
24137_13,CI24926
24139_11,CI26435
24139_12,CI26439
24139_13,CI26436
24144_11,CI23725
24144_12,CI24754
24144_13,CI23656
24148_11,CI24673
24148_12,CI24399
24148_13,CI24866
24152_11,CI23914
24152_12,CI23742
24152_13,CI23916
24155_11,CI24754
24155_12,CI23838
24155_13,CI23923
24160_11,CI24769
24160_12,CI25688
24160_13,CI25689
24161_11,CI27038
24161_12,CI27033
24161_13,CI27039
24162_11,CI24158
24162_12,CI25077
24162_13,CI24020
24166_11,CI24932
24166_12,CI24070
24166_13,CI24759
24167_11,CI26435
24167_12,CI26439
24167_13,CI26436
24168_11,CI26409
24168_12,CI26410
24168_13,CI26404
24169_11,CI24673
24169_12,CI23630
24169_13,CI23725
24171_11,CI24917
24171_12,CI24915
24171_13,CI23725
24175_11,CI26546
24175_12,CI26553
24175_13,CI26552
24180_11,CI24678
24180_12,CI23725
24180_13,CI24673
24181_11,CI24401
24181_12,CI24865
24181_13,CI24389
24182_11,CI24754
24182_12,CI23662
24182_13,CI23791
24184_11,CI24681
24184_12,CI23725
24184_13,CI23656
24185_11,CI24915
24185_12,CI24758
24185_13,CI24964
24187_11,CI24753
24187_12,CI24755
24187_13,CI24773
24189_11,CI24754
24189_12,CI23630
24189_13,CI24112
24190_11,CI24338
24190_12,CI24462
24190_13,CI24849
24192_11,CI24892
24192_12,CI24896
24192_13,CI24894
24196_11,CI24770
24196_12,CI24392
24196_13,CI24188
24198_11,CI25812
24198_12,CI25813
24198_13,CI25811
24201_11,CI25853
24201_12,CI23788
24201_13,CI23906
24203_11,CI23791
24203_12,CI24020
24203_13,CI23726
24205_11,CI23725
24205_12,CI24754
24205_13,CI23656
24207_11,CI26435
24207_12,CI26439
24207_13,CI26436
24212_11,CI24759
24212_12,CI23615
24212_13,CI23747
24215_11,CI25692
24215_12,CI23788
24215_13,CI25688
24217_11,CI26435
24217_12,CI26439
24217_13,CI26436
24221_11,CI25040
24221_12,CI24889
24221_13,CI24890
24223_11,CI27237
24223_12,CI27246
24223_13,CI27243
24225_11,CI26435
24225_12,CI26439
24225_13,CI26436
24226_11,CI24769
24226_12,CI23630
24226_13,CI23656
24227_11,CI25812
24227_12,CI25813
24227_13,CI25811
24229_11,CI27033
24229_12,CI27038
24229_13,CI27039
24231_11,CI26435
24231_12,CI26439
24231_13,CI26436
24244_11,CI23667
24244_12,CI24940
24244_13,CI24148
24246_11,CI24898
24246_12,CI24901
24246_13,CI24899
24247_11,CI23864
24247_12,CI24393
24247_13,CI24671
24250_11,CI27136
24250_12,CI27141
24250_13,CI27139
24253_11,CI27136
24253_12,CI27141
24253_13,CI27139
24255_11,CI26408
24255_12,CI25775
24255_13,CI26407
24261_11,CI24400
24261_12,CI23615
24261_13,CI24398
24262_11,CI27038
24262_12,CI27033
24262_13,CI27039
24265_11,CI27136
24265_12,CI27141
24265_13,CI27139
24267_11,CI24176
24267_12,CI23791
24267_13,CI23725
24268_11,CI24399
24268_12,CI24866
24268_13,CI24400
24269_11,CI27038
24269_12,CI27033
24269_13,CI27036
24270_11,CI25812
24270_12,CI25813
24270_13,CI25811
24273_11,CI23630
24273_12,CI24671
24273_13,CI23615
24277_11,CI27038
24277_12,CI27033
24277_13,CI27039
24278_11,CI24865
24278_12,CI24897
24278_13,CI24401
24283_11,CI24148
24283_12,CI23667
24283_13,CI23615
24287_11,CI24900
24287_12,CI24901
24287_13,CI24897
24289_11,CI27038
24289_12,CI27033
24289_13,CI27039
24296_11,CI27136
24296_12,CI27141
24296_13,CI27139
24299_11,CI27038
24299_12,CI27033
24299_13,CI27039
24301_11,CI27030
24301_12,CI27029
24301_13,CI27032
24306_11,CI24319
24306_12,CI24303
24306_13,CI24300
24309_11,CI24400
24309_12,CI24402
24309_13,CI24148
24311_11,CI23923
24311_12,CI24759
24311_13,CI23831
24312_11,CI23630
24312_12,CI23615
24312_13,CI24112
24314_11,CI23788
24314_12,CI25853
24314_13,CI24734
24317_11,CI25133
24317_12,CI23503
24317_13,CI24910
24318_11,CI24866
24318_12,CI24399
24318_13,CI24400
24322_11,CI24866
24322_12,CI24940
24322_13,CI23667
24334_11,CI24678
24334_12,CI23725
24334_13,CI24681
24342_11,CI27136
24342_12,CI27141
24342_13,CI27139
24345_11,CI26622
24345_12,CI26370
24345_13,CI26382
24347_11,CI24759
24347_12,CI25689
24347_13,CI23725
24348_11,CI24940
24348_12,CI24866
24348_13,CI23807
24355_11,CI26546
24355_12,CI26553
24355_13,CI26552
24356_11,CI27136
24356_12,CI27141
24356_13,CI27139
24358_11,CI27136
24358_12,CI27141
24358_13,CI27139
24361_11,CI24128
24361_12,CI25455
24361_13,CI24059
24362_11,CI26546
24362_12,CI26553
24362_13,CI26552
24363_11,CI24931
24363_12,CI25442
24363_13,CI24179
24364_11,CI27038
24364_12,CI27033
24364_13,CI27039
24366_11,CI24176
24366_12,CI24020
24366_13,CI25077
24367_11,CI24535
24367_12,CI24680
24367_13,CI24940
24369_11,CI24399
24369_12,CI24680
24369_13,CI24535
24371_11,CI24681
24371_12,CI24673
24371_13,CI23656
24372_11,CI26546
24372_12,CI26553
24372_13,CI26552
24374_11,CI26622
24374_12,CI26370
24374_13,CI26382
24377_11,CI24400
24377_12,CI24769
24377_13,CI24681
24381_11,CI24071
24381_12,CI24148
24381_13,CI23634
24382_11,CI27038
24382_12,CI27033
24382_13,CI27039
24384_11,CI24769
24384_12,CI24148
24384_13,CI23630
24390_11,CI24680
24390_12,CI24535
24390_13,CI24400
24393_11,CI24399
24393_12,CI24110
24393_13,CI23537
24398_11,CI23537
24398_12,CI24865
24398_13,CI24400
24399_11,CI27912
24399_12,CI23936
24399_13,CI23686
24402_11,CI24020
24402_12,CI23725
24402_13,CI24754
24405_11,CI23864
24405_12,CI23630
24405_13,CI23725
24409_11,CI24915
24409_12,CI24917
24409_13,CI23800
24410_11,CI26546
24410_12,CI26553
24410_13,CI26552
24411_11,CI25415
24411_12,CI24521
24411_13,CI25334
24413_11,CI27038
24413_12,CI27033
24413_13,CI27039
24414_11,CI26546
24414_12,CI26553
24414_13,CI26552
24416_11,CI26546
24416_12,CI26553
24416_13,CI26552
24418_11,CI26435
24418_12,CI26439
24418_13,CI26436
24419_11,CI26435
24419_12,CI26439
24419_13,CI26436
24429_11,CI27413
24429_12,CI27417
24429_13,CI27424
24430_11,CI24673
24430_12,CI23656
24430_13,CI24681
24431_11,CI27136
24431_12,CI27141
24431_13,CI27139
24432_11,CI27410
24432_12,CI27413
24432_13,CI27417
24434_11,CI24402
24434_12,CI24400
24434_13,CI24399
24435_11,CI26336
24435_12,CI27111
24435_13,CI26340
24439_11,CI23972
24439_12,CI23615
24439_13,CI24866
24445_11,CI27136
24445_12,CI27141
24445_13,CI27139
24450_11,CI23879
24450_12,CI25694
24450_13,CI25688
24453_11,CI24899
24453_12,CI24900
24453_13,CI24897
24454_11,CI26515
24454_12,CI26519
24454_13,CI26512
24458_11,CI26435
24458_12,CI26439
24458_13,CI26436
24465_11,CI26546
24465_12,CI26553
24465_13,CI26552
24467_11,CI23630
24467_12,CI24759
24467_13,CI23725
24468_11,CI24792
24468_12,CI24763
24468_13,CI24769
24470_11,CI24400
24470_12,CI24673
24470_13,CI23883
24471_11,CI25692
24471_12,CI25514
24471_13,CI24150
24473_11,CI24071
24473_12,CI24148
24473_13,CI23667
24478_11,CI26555
24478_12,CI26556
24478_13,CI26553
24484_11,CI27038
24484_12,CI27033
24484_13,CI27039
24486_11,CI23656
24486_12,CI23726
24486_13,CI24148
24487_11,CI24398
24487_12,CI23677
24487_13,CI23883
24488_11,CI24680
24488_12,CI23656
24488_13,CI24671
24489_11,CI27136
24489_12,CI27141
24489_13,CI27139
24490_11,CI24847
24490_12,CI23800
24490_13,CI24070
24491_11,CI27136
24491_12,CI27141
24491_13,CI27139
24492_11,CI23630
24492_12,CI24754
24492_13,CI23656
24493_11,CI26435
24493_12,CI26439
24493_13,CI26436
24496_11,CI23725
24496_12,CI23942
24496_13,CI24113
24499_11,CI27136
24499_12,CI27141
24499_13,CI27139
24503_11,CI24680
24503_12,CI23726
24503_13,CI23971
24504_11,CI23883
24504_12,CI23725
24504_13,CI24398
24508_11,CI26435
24508_12,CI26439
24508_13,CI26436
24510_11,CI25450
24510_12,CI25455
24510_13,CI25447
24518_11,CI26435
24518_12,CI26439
24518_13,CI26436
24519_11,CI26815
24519_12,CI26989
24519_13,CI25697
24521_11,CI24391
24521_12,CI24392
24521_13,CI24188
24522_11,CI24754
24522_12,CI23800
24522_13,CI23725
24523_11,CI23615
24523_12,CI24671
24523_13,CI24112
24525_11,CI27136
24525_12,CI27141
24525_13,CI27139
24526_11,CI23537
24526_12,CI23972
24526_13,CI23807
24536_11,CI27136
24536_12,CI27141
24536_13,CI27139
24551_11,CI26336
24551_12,CI27111
24551_13,CI26340
24556_11,CI23630
24556_12,CI23615
24556_13,CI23882
24557_11,CI24940
24557_12,CI24678
24557_13,CI24050
24558_11,CI27136
24558_12,CI27141
24558_13,CI27139
24559_11,CI24234
24559_12,CI23782
24559_13,CI24336
24563_11,CI26435
24563_12,CI26439
24563_13,CI26436
24565_11,CI27136
24565_12,CI27141
24565_13,CI27139
24566_11,CI26463
24566_12,CI26458
24566_13,CI26457
24569_11,CI26510
24569_12,CI26508
24569_13,CI26514
24570_11,CI24171
24570_12,CI24678
24570_13,CI23725
24575_11,CI27574
24575_12,CI27561
24575_13,CI24150
24576_11,CI26546
24576_12,CI26553
24576_13,CI26552
24579_11,CI24680
24579_12,CI24673
24579_13,CI24671
24582_11,CI27574
24582_12,CI27561
24582_13,CI27570
24586_11,CI24148
24586_12,CI23615
24586_13,CI24769
24587_11,CI27749
24587_12,CI27754
24587_13,CI27752
24588_11,CI24544
24588_12,CI24336
24588_13,CI24338
24590_11,CI24399
24590_12,CI24866
24590_13,CI23537
24592_11,CI26435
24592_12,CI26436
24592_13,CI26439
24594_11,CI23537
24594_12,CI24402
24594_13,CI24401
24599_11,CI24148
24599_12,CI24020
24599_13,CI23726
24600_11,CI24740
24600_12,CI24738
24600_13,CI24732
24603_11,CI24042
24603_12,CI24071
24603_13,CI24756
24608_11,CI27136
24608_12,CI27141
24608_13,CI27139
24610_11,CI27038
24610_12,CI27033
24610_13,CI27036
24613_11,CI24399
24613_12,CI24673
24613_13,CI24940
24616_11,CI24402
24616_12,CI24400
24616_13,CI24110
24617_11,CI26546
24617_12,CI26553
24617_13,CI26552
24618_11,CI26556
24618_12,CI26554
24618_13,CI26553
24621_11,CI23831
24621_12,CI24759
24621_13,CI24757
24634_11,CI23507
24634_12,CI24521
24634_13,CI24405
24636_11,CI24740
24636_12,CI24738
24636_13,CI24729
24641_11,CI27574
24641_12,CI27568
24641_13,CI27561
24643_11,CI24401
24643_12,CI24389
24643_13,CI24865
24646_11,CI24148
24646_12,CI24759
24646_13,CI23615
24647_11,CI24148
24647_12,CI24671
24647_13,CI23615
24651_11,CI26546
24651_12,CI26553
24651_13,CI26552
24653_11,CI24401
24653_12,CI24389
24653_13,CI24865
24657_11,CI24042
24657_12,CI24071
24657_13,CI23970
24659_11,CI24681
24659_12,CI24535
24659_13,CI24866
24664_11,CI23971
24664_12,CI24769
24664_13,CI24818
24666_11,CI26510
24666_12,CI26508
24666_13,CI26514
24667_11,CI26435
24667_12,CI26439
24667_13,CI26436
24668_11,CI24070
24668_12,CI24917
24668_13,CI24926
24670_11,CI24740
24670_12,CI24738
24670_13,CI24729
24672_11,CI24865
24672_12,CI24399
24672_13,CI24336
24673_11,CI26546
24673_12,CI26553
24673_13,CI26552
24674_11,CI24754
24674_12,CI23630
24674_13,CI23615
24679_11,CI25013
24679_12,CI25176
24679_13,CI25113
24684_11,CI27038
24684_12,CI27033
24684_13,CI27039
24689_11,CI26452
24689_12,CI26470
24689_13,CI26458
24693_11,CI24401
24693_12,CI24390
24693_13,CI24110
24695_11,CI23537
24695_12,CI24865
24695_13,CI24399
24699_11,CI23923
24699_12,CI25689
24699_13,CI23582
24702_11,CI26435
24702_12,CI26439
24702_13,CI26436
24703_11,CI23629
24703_12,CI23747
24703_13,CI23971
24709_11,CI24400
24709_12,CI24110
24709_13,CI24336
24714_11,CI24110
24714_12,CI24336
24714_13,CI24402
24717_11,CI27574
24717_12,CI27566
24717_13,CI27570
24719_11,CI26435
24719_12,CI26439
24719_13,CI26436
24721_11,CI24865
24721_12,CI24400
24721_13,CI24901
24726_11,CI24720
24726_12,CI25690
24726_13,CI26740
24728_11,CI23582
24728_12,CI25084
24728_13,CI24150
24734_11,CI24400
24734_12,CI24866
24734_13,CI24681
24736_11,CI26435
24736_12,CI26439
24736_13,CI26436
24739_11,CI24680
24739_12,CI23615
24739_13,CI24148
24740_11,CI26435
24740_12,CI26439
24740_13,CI26436
24743_11,CI26556
24743_12,CI26554
24743_13,CI26553
24744_11,CI24148
24744_12,CI23667
24744_13,CI23726
24746_11,CI26412
24746_12,CI26411
24746_13,CI25822
24750_11,CI24898
24750_12,CI24897
24750_13,CI24901
24755_11,CI23800
24755_12,CI23630
24755_13,CI24398
24757_11,CI24740
24757_12,CI24742
24757_13,CI24732
24766_11,CI23791
24766_12,CI24176
24766_13,CI23726
24768_11,CI23725
24768_12,CI24176
24768_13,CI24676
24771_11,CI24319
24771_12,CI24303
24771_13,CI24300
24774_11,CI24773
24774_12,CI24755
24774_13,CI24753
24775_11,CI27038
24775_12,CI27033
24775_13,CI27039
24778_11,CI27136
24778_12,CI27141
24778_13,CI27139
24781_11,CI24754
24781_12,CI23838
24781_13,CI23630
24782_11,CI26411
24782_12,CI25822
24782_13,CI25826
24784_11,CI27136
24784_12,CI27141
24784_13,CI27139
24789_11,CI25689
24789_12,CI24915
24789_13,CI25688
24791_11,CI24763
24791_12,CI24769
24791_13,CI23656
24794_11,CI25821
24794_12,CI26411
24794_13,CI26412
